author_id training11 training12 training13 generation1 training21 training22 training23 generation2
A17CP110C6E9KF Electronics HomeandKitchen MoviesandTV Automotive HealthandPersonalCare Beauty CellPhonesandAccessories Baby
A17DW6SUOC70DJ KindleStore HomeandKitchen Electronics Automotive HealthandPersonalCare GroceryandGourmetFood ClothingShoesandJewelry DigitalMusic
A17HMM1M7T9PJ1 MoviesandTV HomeandKitchen Electronics ClothingShoesandJewelry HealthandPersonalCare KindleStore CellPhonesandAccessories CDandVinyl
A17NVM7IAPF2NS CellPhonesandAccessories DigitalMusic MoviesandTV Automotive Electronics OfficeProducts CDandVinyl Baby
A17O9AHKHK66AI HomeandKitchen Baby MoviesandTV DigitalMusic HealthandPersonalCare Electronics Beauty InstantVideo
A17OSOO1PIUG7U Baby Beauty MoviesandTV ClothingShoesandJewelry Electronics HomeandKitchen HealthandPersonalCare KindleStore
A17SPEC8D1SX85 ClothingShoesandJewelry HealthandPersonalCare Electronics Baby CellPhonesandAccessories MoviesandTV HomeandKitchen Automotive
A17SZZO9LM3WYC HealthandPersonalCare GroceryandGourmetFood HomeandKitchen KindleStore Electronics Beauty MoviesandTV DigitalMusic
A17UNMURMLX0ZE Electronics OfficeProducts CellPhonesandAccessories InstantVideo GroceryandGourmetFood Automotive HealthandPersonalCare Beauty
A17V2N0N8CXSA9 OfficeProducts ClothingShoesandJewelry GroceryandGourmetFood MoviesandTV HealthandPersonalCare HomeandKitchen Electronics Automotive
A17V9XL4CWTQ6G MoviesandTV Beauty HealthandPersonalCare HomeandKitchen OfficeProducts ClothingShoesandJewelry CellPhonesandAccessories MusicalInstruments
A186ZAYP2L4CDZ Beauty AppsforAndroid OfficeProducts HealthandPersonalCare KindleStore HomeandKitchen MoviesandTV Automotive
A188JOXWF4EY1R HomeandKitchen OfficeProducts GroceryandGourmetFood AppsforAndroid Beauty Electronics HealthandPersonalCare Baby
A18FUHNBP90IB4 Electronics KindleStore HealthandPersonalCare DigitalMusic OfficeProducts GroceryandGourmetFood MoviesandTV Baby
A18GJ9MYYO6GCQ HealthandPersonalCare OfficeProducts HomeandKitchen KindleStore Beauty Electronics GroceryandGourmetFood Baby
A18HE80910BTZI CellPhonesandAccessories ClothingShoesandJewelry MoviesandTV Automotive OfficeProducts HomeandKitchen Beauty CDandVinyl
A18LBGL7L9FEZV HealthandPersonalCare Beauty Electronics Automotive GroceryandGourmetFood OfficeProducts HomeandKitchen KindleStore
A18MBO1U4DPY20 OfficeProducts Electronics DigitalMusic ClothingShoesandJewelry MoviesandTV CDandVinyl HealthandPersonalCare InstantVideo
A18S2A07LBNVNF HealthandPersonalCare CDandVinyl GroceryandGourmetFood DigitalMusic Beauty HomeandKitchen Electronics OfficeProducts
A18S2VGUH9SCV5 HealthandPersonalCare HomeandKitchen CDandVinyl AppsforAndroid MoviesandTV ClothingShoesandJewelry KindleStore OfficeProducts
A18YMFFJW974QS HealthandPersonalCare OfficeProducts Baby CellPhonesandAccessories Automotive HomeandKitchen GroceryandGourmetFood KindleStore
A194K60CWZ371J Baby Beauty HealthandPersonalCare CellPhonesandAccessories OfficeProducts HomeandKitchen Electronics ClothingShoesandJewelry
A197T2N6RU7K56 MoviesandTV AppsforAndroid OfficeProducts Baby HomeandKitchen ClothingShoesandJewelry Electronics HealthandPersonalCare
A198CCH4NNLI2E CellPhonesandAccessories HealthandPersonalCare Electronics AppsforAndroid HomeandKitchen Baby Automotive InstantVideo
A199FRO0YFMGED MoviesandTV OfficeProducts Beauty AppsforAndroid HealthandPersonalCare Electronics HomeandKitchen Automotive
A19D3N662QS9WD KindleStore Electronics ClothingShoesandJewelry CellPhonesandAccessories GroceryandGourmetFood Beauty HomeandKitchen MusicalInstruments
A19DW3VKM5KKYB HomeandKitchen MoviesandTV HealthandPersonalCare KindleStore CDandVinyl Beauty GroceryandGourmetFood InstantVideo
A19EKT8H85AKO5 MoviesandTV OfficeProducts ClothingShoesandJewelry InstantVideo Electronics CellPhonesandAccessories HealthandPersonalCare Beauty
A19FRW264WZTGP OfficeProducts HealthandPersonalCare HomeandKitchen Beauty GroceryandGourmetFood Baby CellPhonesandAccessories DigitalMusic
A19GSC3QMK694Q GroceryandGourmetFood MoviesandTV OfficeProducts KindleStore ClothingShoesandJewelry HomeandKitchen Electronics HealthandPersonalCare
A19HKRB4LU5YR HealthandPersonalCare OfficeProducts MoviesandTV CDandVinyl Electronics CellPhonesandAccessories HomeandKitchen Automotive
A19JDXB5R33C7R GroceryandGourmetFood Electronics ClothingShoesandJewelry InstantVideo HomeandKitchen HealthandPersonalCare OfficeProducts MusicalInstruments
A19KLUZ1XD3SRN Electronics GroceryandGourmetFood HomeandKitchen CellPhonesandAccessories OfficeProducts HealthandPersonalCare Beauty MusicalInstruments
A19MMYMZO363KM ClothingShoesandJewelry InstantVideo Beauty DigitalMusic HealthandPersonalCare Electronics MoviesandTV CDandVinyl
A19NP8YYADOOSF MoviesandTV OfficeProducts CellPhonesandAccessories DigitalMusic GroceryandGourmetFood HealthandPersonalCare Electronics InstantVideo
A19PPFERQ3JFDS OfficeProducts CellPhonesandAccessories HomeandKitchen InstantVideo DigitalMusic CDandVinyl Electronics Beauty
A19RE9LBQIX90B OfficeProducts KindleStore Electronics CellPhonesandAccessories GroceryandGourmetFood Beauty HealthandPersonalCare ClothingShoesandJewelry
A19SDJ2TSSL8HI HomeandKitchen OfficeProducts Electronics CDandVinyl GroceryandGourmetFood Beauty KindleStore Automotive
A19UTUEBWKIZFT Beauty CellPhonesandAccessories GroceryandGourmetFood MusicalInstruments Electronics HealthandPersonalCare OfficeProducts DigitalMusic
A19W47CXJJP1MI ClothingShoesandJewelry Electronics HealthandPersonalCare MoviesandTV OfficeProducts CellPhonesandAccessories HomeandKitchen KindleStore
A19WEEGB05YAZ3 HealthandPersonalCare HomeandKitchen ClothingShoesandJewelry KindleStore Beauty AppsforAndroid Electronics CellPhonesandAccessories
A19XMHRB3G4DIR GroceryandGourmetFood OfficeProducts HealthandPersonalCare ClothingShoesandJewelry Electronics MoviesandTV HomeandKitchen AppsforAndroid
A19YOYY7FLQMA6 Electronics OfficeProducts Beauty DigitalMusic GroceryandGourmetFood MoviesandTV HealthandPersonalCare CDandVinyl
A1A027UELK4JZC GroceryandGourmetFood HomeandKitchen OfficeProducts ClothingShoesandJewelry Electronics CellPhonesandAccessories Beauty Automotive
A1A1BM6N28X9J0 HealthandPersonalCare GroceryandGourmetFood Electronics HomeandKitchen OfficeProducts Beauty Automotive ClothingShoesandJewelry
A1A2F1ZOWOPNJB Beauty OfficeProducts GroceryandGourmetFood Automotive CDandVinyl HomeandKitchen HealthandPersonalCare CellPhonesandAccessories
A1A535TCGNMVPI OfficeProducts CellPhonesandAccessories GroceryandGourmetFood InstantVideo HomeandKitchen MoviesandTV Electronics Beauty
A1ACM1CBGORBN1 GroceryandGourmetFood Baby HealthandPersonalCare MoviesandTV HomeandKitchen CDandVinyl OfficeProducts InstantVideo
A1AEPMPA12GUJ7 Electronics HomeandKitchen CellPhonesandAccessories Baby MoviesandTV HealthandPersonalCare OfficeProducts DigitalMusic
A1AG7F4Z1EOO5L GroceryandGourmetFood OfficeProducts HomeandKitchen MoviesandTV Electronics Beauty HealthandPersonalCare CDandVinyl
A1AKU188I6NRF0 Beauty OfficeProducts CDandVinyl ClothingShoesandJewelry MoviesandTV GroceryandGourmetFood Electronics KindleStore
A1ALOTXWL76OY7 MoviesandTV HealthandPersonalCare HomeandKitchen OfficeProducts GroceryandGourmetFood Electronics Baby Automotive
A1B4MIXYVIKMU2 DigitalMusic Electronics MoviesandTV Baby HomeandKitchen CellPhonesandAccessories GroceryandGourmetFood KindleStore
A1B6O7SAIYG2N0 GroceryandGourmetFood Beauty HomeandKitchen InstantVideo OfficeProducts HealthandPersonalCare Automotive Electronics
A1B6SIX2I161O9 OfficeProducts GroceryandGourmetFood Electronics InstantVideo CellPhonesandAccessories HealthandPersonalCare HomeandKitchen MusicalInstruments
A1BA72K4VK1UN1 HealthandPersonalCare ClothingShoesandJewelry HomeandKitchen KindleStore GroceryandGourmetFood CDandVinyl Electronics Baby
A1BBYSMT9YCODI Electronics GroceryandGourmetFood HomeandKitchen InstantVideo DigitalMusic CellPhonesandAccessories HealthandPersonalCare OfficeProducts
A1BEKAQQGP8CMF CellPhonesandAccessories Baby HealthandPersonalCare OfficeProducts Beauty DigitalMusic HomeandKitchen AppsforAndroid
A1BHSP8TPTH8Y5 Electronics OfficeProducts HealthandPersonalCare ClothingShoesandJewelry HomeandKitchen GroceryandGourmetFood Automotive Beauty
A1BJOHHLG0D965 Beauty Electronics CDandVinyl MusicalInstruments OfficeProducts CellPhonesandAccessories AppsforAndroid DigitalMusic
A1BK60GZ4QME6I HealthandPersonalCare CellPhonesandAccessories GroceryandGourmetFood DigitalMusic OfficeProducts HomeandKitchen Electronics MoviesandTV
A1BKJNAWJT2TG2 Beauty KindleStore Electronics MoviesandTV GroceryandGourmetFood HomeandKitchen HealthandPersonalCare CellPhonesandAccessories
A1BT6TL7UCIC5Y OfficeProducts KindleStore Beauty Electronics GroceryandGourmetFood HomeandKitchen HealthandPersonalCare Baby
A1BTG38XSGYLW3 Beauty GroceryandGourmetFood HomeandKitchen DigitalMusic Electronics HealthandPersonalCare OfficeProducts MusicalInstruments
A1BXVZSQOJE6UE GroceryandGourmetFood Beauty CDandVinyl Baby OfficeProducts ClothingShoesandJewelry HomeandKitchen CellPhonesandAccessories
A1C02Z83O2MJHO ClothingShoesandJewelry Baby HealthandPersonalCare AppsforAndroid CDandVinyl HomeandKitchen Beauty MoviesandTV
A1C139F5C7Y38P GroceryandGourmetFood MoviesandTV Electronics KindleStore HealthandPersonalCare HomeandKitchen CellPhonesandAccessories Baby
A1C217T6VWIE3 HealthandPersonalCare GroceryandGourmetFood Beauty CellPhonesandAccessories MoviesandTV HomeandKitchen Electronics ClothingShoesandJewelry
A1C21QBAZ1W4Z2 HealthandPersonalCare GroceryandGourmetFood Beauty InstantVideo Baby MoviesandTV HomeandKitchen CellPhonesandAccessories
A1C4J5MRES1KRK OfficeProducts Baby Beauty Electronics HomeandKitchen HealthandPersonalCare GroceryandGourmetFood DigitalMusic
A1C6ZJNWKYK485 Beauty HomeandKitchen Electronics CDandVinyl GroceryandGourmetFood CellPhonesandAccessories HealthandPersonalCare MusicalInstruments
A1C74SFQ5UMHLS Electronics Beauty KindleStore CDandVinyl OfficeProducts HomeandKitchen CellPhonesandAccessories AppsforAndroid
A1C760KGFSRI6F HomeandKitchen Electronics Beauty InstantVideo Baby GroceryandGourmetFood HealthandPersonalCare ClothingShoesandJewelry
A1C7Y31S5QXNTR Electronics HomeandKitchen OfficeProducts CellPhonesandAccessories GroceryandGourmetFood HealthandPersonalCare Baby Beauty
A1CFU5XJXN3PV4 HomeandKitchen OfficeProducts GroceryandGourmetFood Automotive HealthandPersonalCare MoviesandTV Electronics Baby
A1CIMOIAZUR7CP HealthandPersonalCare ClothingShoesandJewelry HomeandKitchen Automotive MoviesandTV Baby Beauty MusicalInstruments
A1CMD08Z49PGKQ CellPhonesandAccessories OfficeProducts HomeandKitchen AppsforAndroid Electronics Beauty HealthandPersonalCare InstantVideo
A1CNLU84K5ZIOZ ClothingShoesandJewelry Beauty HomeandKitchen KindleStore Electronics HealthandPersonalCare GroceryandGourmetFood OfficeProducts
A1CVFUQ1PGSIJL OfficeProducts MoviesandTV Electronics HealthandPersonalCare Beauty HomeandKitchen GroceryandGourmetFood Automotive
A1CYTBE7LLUQ8F Electronics HealthandPersonalCare CellPhonesandAccessories Automotive CDandVinyl HomeandKitchen MoviesandTV Baby
A1D1IDI5S9TN9D Electronics HomeandKitchen GroceryandGourmetFood ClothingShoesandJewelry HealthandPersonalCare Beauty CDandVinyl Baby
A1D2C0WDCSHUWZ KindleStore CDandVinyl InstantVideo Automotive DigitalMusic MoviesandTV Electronics ClothingShoesandJewelry
A1D7VWS3DWS7X8 HomeandKitchen CellPhonesandAccessories OfficeProducts AppsforAndroid CDandVinyl Electronics HealthandPersonalCare Beauty
A1D9V11QUHXENQ HealthandPersonalCare HomeandKitchen OfficeProducts Baby Electronics MoviesandTV CDandVinyl CellPhonesandAccessories
A1DC1O4VX6AHPP GroceryandGourmetFood ClothingShoesandJewelry Electronics CellPhonesandAccessories HomeandKitchen Beauty OfficeProducts Automotive
A1DD5LYFQ3ZAOK HomeandKitchen GroceryandGourmetFood HealthandPersonalCare MusicalInstruments Beauty OfficeProducts Electronics InstantVideo
A1DG75OT3Y49EM MoviesandTV HealthandPersonalCare HomeandKitchen KindleStore GroceryandGourmetFood CellPhonesandAccessories CDandVinyl MusicalInstruments
A1DH3QDZX8Z7GO OfficeProducts CDandVinyl Beauty InstantVideo GroceryandGourmetFood Baby HomeandKitchen AppsforAndroid
A1DIFL0333QPEB HomeandKitchen MoviesandTV CellPhonesandAccessories Beauty Electronics CDandVinyl GroceryandGourmetFood InstantVideo
A1DO9LRCO23EOM GroceryandGourmetFood Electronics OfficeProducts InstantVideo HealthandPersonalCare Beauty MoviesandTV KindleStore
A1DQHS7MOVYYYA Electronics OfficeProducts Beauty CDandVinyl HealthandPersonalCare HomeandKitchen GroceryandGourmetFood AppsforAndroid
