author_id generation_topic randomly_selected_file
A12DQZKRKTNF5E DigitalMusic A2SPI5WNZLOJ2U/A2SPI5WNZLOJ2U_DigitalMusic.txt
A12E0Y0J6584RT AppsforAndroid A1BJOHHLG0D965/A1BJOHHLG0D965_AppsforAndroid.txt
A12ENBT314RFXR DigitalMusic AW3VZ5O895LRK/AW3VZ5O895LRK_DigitalMusic.txt
A12GK5JUYAV0HM CDandVinyl A25QJBK33C4O0R/A25QJBK33C4O0R_CDandVinyl.txt
A12IRGQLFE4EBA GroceryandGourmetFood AO9UNKQG83BUP/AO9UNKQG83BUP_GroceryandGourmetFood.txt
A12XDEMP7PQPDT InstantVideo ASEBX8TBYWQWA/ASEBX8TBYWQWA_InstantVideo.txt
A132ETQPMHQ585 CellPhonesandAccessories A2D7B5I7ZQ51XL/A2D7B5I7ZQ51XL_CellPhonesandAccessories.txt
A13700AF4X40YG Beauty A34CSXOGVYF94S/A34CSXOGVYF94S_Beauty.txt
A13E0ARAXI6KJW Electronics A1FK6IQ111SJDR/A1FK6IQ111SJDR_Electronics.txt
A13H5US9Z7L9M7 HomeandKitchen A3M17XG8HL7JRF/A3M17XG8HL7JRF_HomeandKitchen.txt
A13MKSASQ6YWL7 AppsforAndroid A1PI8VBCXXSGC7/A1PI8VBCXXSGC7_AppsforAndroid.txt
A13NJZ1M018A7C Automotive A1C7Y31S5QXNTR/A1C7Y31S5QXNTR_Automotive.txt
A13NM1PES9OXVN DigitalMusic ATLO3YXU2BC16/ATLO3YXU2BC16_DigitalMusic.txt
A13U975DFXBU44 MoviesandTV A3FS3FJPD3RJTD/A3FS3FJPD3RJTD_MoviesandTV.txt
A13WEKTB63G78Y HomeandKitchen AJ9AE2BVND0GS/AJ9AE2BVND0GS_HomeandKitchen.txt
A13WOT3RSXKRD5 ClothingShoesandJewelry ACV37UH08UMY3/ACV37UH08UMY3_ClothingShoesandJewelry.txt
A140ICK18NAAYR KindleStore A3TAS1AG6FMBQW/A3TAS1AG6FMBQW_KindleStore.txt
